Entity,AttributeName,Attribute
南京林业大学,学校类别,公立大学
南京林业大学,主管部门,江苏省
南昌航空大学,学校类别,公立大学
南昌航空大学,主管部门,江西省
南通大学,学校类别,公立大学
南通大学,主管部门,江苏省
南昌大学外国语学院,学校类别,公立大学
南开大学,学校类别,公立大学
南开大学,所属地区,天津市
南开大学,主管部门,中华人民共和国教育部
宁波工程学院,学校类别,公立大学
宁夏医学院,学校类别,公立大学
宁波大学,学校类别,公立大学
宁夏建设职业技术学院,学校类别,公立大学
宁波天一职业技术学院,学校类别,公立大学
南方科技大学,学校类别,公立大学
南方科技大学,主管部门,广东省
曲靖师范学院,主管部门,云南省
莆田学院,学校类别,公立大学
攀枝花学院,学校类别,公立大学
曲靖医学高等专科学校,主管部门,云南省
齐齐哈尔铁路运输职工大学,类型,大学
齐齐哈尔铁路运输职大学,类型,大学
齐齐哈尔大学,学校类别,公立大学
齐齐哈尔大学,主管部门,黑龙江省
青岛农业大学,学校类别,公立大学
青岛农业大学,主管部门,山东省
钱培德,国籍,中国
钱培德,毕业院校,南京大学
齐齐哈尔高等师范专科学校,学校类别,公立大学
三明学院,学校类别,公立大学
人民大学,中文名,中国人民大学
人民大学,学校类别,公立大学
人民大学,主管部门,中华人民共和国教育部
上海交通大学软件学院,别称,上海交通大学
上海交通大学软件学院,学校类型,大学
上海医药高等专科学校,学校类别,公立大学
上海医药高等专科学校,主管部门,上海市
上海水产大学,学校类别,公立大学
上海水产大学,主管部门,上海市
上海师范大学,学校类别,公立大学
上海师范大学,所属地区,上海市
上海师范大学,主管部门,上海市
上海第二工业大学,学校类别,公立大学
上海第二工业大学,主管部门,上海市
十堰大学,类别,公立大学
上海财经大学,学校类别,公立大学
上海财经大学,所属地区,上海市
上海财经大学,主管部门,中华人民共和国教育部
上海应用技术大学,学校类别,公立大学
上海应用技术大学,主管部门,上海市
四川外国语学院,学校类别,公立大学
四川外国语学院,所属地区,重庆市
四川外国语学院,现任校长,李克勇
四川外国语学院,主管部门,重庆市
四川大学艺术学院,学校类别,公立大学
四川大学艺术学院,主管部门,中华人民共和国教育部
四川天一学院,中文名,民办四川天一学院
牡丹江师范学院,学校类别,公立大学
四川广播电视大学,学校类别,公立大学
四川师范大学,学校类别,公立大学
四川电子科技大学,中文名,电子科技大学
四川电子科技大学,学校类别,公立大学
四川电子科技大学,现任校长,曾勇
四川电子科技大学,主管部门,中华人民共和国教育部
山东万杰医学高等专科学校,学校前身,山东万杰医学院
四川畜牧兽医学院,类型,公立大学
四川畜牧兽医学院,主管部门,西南大学
山东工艺美术学院,学校类别,公立大学
山东工艺美术学院,主管部门,山东省
山东信息职业技术学院,学校类别,公立大学
山东兖州矿区职工大学,中文名,兖州矿区职工大学
山东外贸职业学院,学校类别,公立大学
山东外贸职业学院,主管部门,山东省
山东商务职业学院,学校类别,公立大学
山东商务职业学院,所属地区,山东省
山东师范学院,学校类别,公立大学
山东师范学院,主管部门,山东省
山东省农业管理干部学院,学校类别,公立大学
山东省农业管理干部学院,主管部门,山东省
山东省教育学院,学校类别,公立大学
山东省教育学院,主管部门,山东省
山东聊城大学,学校类别,公立大学
山东聊城大学,主管部门,山东省
山东省工会管理干部学院,主管部门,山东省
山东艺术学院,学校类别,公立大学
山东艺术学院,主管部门,山东省
山东广播电视大学,学校类别,公立大学
山东广播电视大学,所属地区,山东省
山峡大学,学校类别,公立大学
山峡大学,所属地区,湖北省
山峡大学,主管部门,湖北省
山东铝业职业学院,所属地区,山东省
山西忻州师范学院,学校类别,公立大学
山西忻州师范学院,知名校友,山西省
山西忻州师范学院,主管部门,山西省
山西旅游职业学院,学校类别,公立大学
山西长治医学院,学校类别,公立大学
山西长治医学院,主管部门,山西省
思茅师范高等专科学校,学校类别,公立大学
思茅师范高等专科学校,主管部门,云南省
沈阳体育学院,学校类别,公立大学
水产大学,学校类别,公立大学
水产大学,所属地区,中国
沈阳农业大学,学校类别,公立大学
沈阳化工学院,学校类别,公立大学
沈阳大学,学校类别,公立大学
沈阳大学,所属地区,沈阳市
沈阳工程学院,学校类别,公立大学
沈阳医学院,学校类别,公立大学
沈阳工业大学,学校类别,公立大学
沈阳建筑大学,所属地区,沈阳市
沈阳理工大学,学校类别,公立大学
沈阳师范大学,学校类别,公立大学
沈阳药科大学,学校类别,公立大学
沈阳航空工业学院,中文名,沈阳航空航天大学
沈阳航空工业学院,学校类别,公立大学
生命科学学院,所属地区,中国
深圳大学,学校类别,公立大学
深圳大学,主管部门,广东省
石家庄职业技术学院,学校类别,公立大学
石家庄职业技术学院,主管部门,河北省
石家庄信息工程学院,中文名,石家庄信息工程职业学院
石家庄信息工程学院,学校类别,公立大学
石家庄邮政高等专科学校,学校类别,公立大学
石家庄邮政高等专科学校,主管部门,河北省
石家庄铁路职业技术学院,主管部门,河北省
绍兴托普信息职业技术学院,中文名,绍兴职业技术学院
石河子大学,学校类别,公立大学
绍兴文理学院,学校类别,公立大学
苏州市职业大学,学校类别,公立大学
苏州大学,学校类别,公立大学
苏州大学,主管部门,江苏省
首都经济贸易大学,学校类别,公立大学
首都经济贸易大学,主管部门,北京市
首都医科大学,学校类别,公立大学
首都医科大学,主管部门,北京市
台湾师范大学,学校类别,公立大学
首都师范大学,学校类别,公立大学
台州学院,学校类别,公立大学
台州学院,主管部门,浙江省
同济大学土木工程学院,主管部门,同济大学
同济大学环境科学与工程学院,类型,大学
同济大学环境科学与工程学院,主管部门,同济大学
同济大学外国语学院,学校类别,大学
同济大学外国语学院,创办人,埃里希·宝隆
同济医科大学,中文名,华中科技大学同济医学院
同济医科大学,学校类别,公立大学
同济医科大学,主管部门,华中科技大学
同济大学经济与管理学院,学校类别,商学院
同济大学经济与管理学院,学校类型,商学院
天津中德职业技术学院,学校类别,公立大学
天津中德职业技术学院,主管部门,天津市
唐山师范学院,学校类别,公立大学
天津中医学院,学校类别,公立大学
唐山职业技术学院,学校类别,公立大学
唐山职业技术学院,主管部门,河北省
天津中药大学,学校类别,公立大学
天津北洋大学,类别,学校
天津体育学院,学校类别,公立大学
天津体育学院,主管部门,天津市
天津农学院,学校类别,公立大学
天津医科大学,学校类别,公立大学
天津医科大学,所属地区,天津市
天津医科大学,主管部门,天津市
天津商学院宝德职业技术学院,学校类型,大学
天津外国语大学,学校类别,公立大学
天津外国语大学,主管部门,天津市
天津外国语学院,中文名,天津外国语大学
天津外国语学院,学校类别,公立大学
天津外国语学院,主管部门,天津市
天津大学仁爱学院,主管部门,天津市
山东省青年管理干部学院,学校类别,公立大学
天津大学,学校类别,公立大学
天津大学,主管部门,中华人民共和国教育部
天津师范大学艺术学院,所属地区,天津市
天津工程师范学院,学校类别,公立大学
天津工程师范学院,主管部门,天津市
天津工程师范学院,学校地址,天津市
天津广播电视大学,学校类别,公立大学
天津科技大学,学校类别,公立大学
天津科技大学,主管部门,天津市
天津理工大学,所属地区,天津市
天津理工大学,主管部门,天津市
天津财经大学,学校类别,公立大学
天津财经大学,主管部门,天津市
太原广播电视大学,学校类型,大学
天津轻工职业技术学院,主管部门,天津市
通化师范学院,学校类别,公立大学
泰州师范高等专科学校,学校类别,公立大学
泰州师范高等专科学校,主管部门,江苏省
武汉中原大学,学校类别,公立大学
外交学院,学校类别,公立大学
文山师范高等专科学校,类型,公立大学
武汉体育学院,学校类别,公立大学
武汉体育学院,主管部门,湖北省
温州大学,学校类别,公立大学
温州大学,主管部门,浙江省
武汉水运工程学院,学校类别,公立大学
武汉软件工程职业学院,学校类别,公立大学
武汉软件工程职业学院,主管部门,湖北省
芜湖师范专科学校,中文名,安徽师范大学
芜湖师范专科学校,学校类别,公立大学
徐州工程学院,学校类别,公立大学
徐州工程学院,主管部门,江苏省
厦门理工学院,学校类别,公立大学
厦门大学,学校类别,公立大学
厦门大学,主管部门,中华人民共和国教育部
厦门大学,创办人,陈嘉庚
徐州师范大学,中文名,江苏师范大学
徐州师范大学,学校类别,公立大学
徐州师范大学,主管部门,江苏省
新疆财经大学,学校类别,公立大学
西交利物浦大学,执行校长,席酉民
西北联合大学,学校类别,公立大学
西南农业大学,学校类别,公立大学
西南农业大学,所属地区,重庆市
西南农业大学,主管部门,中华人民共和国教育部
西北农业大学,中文名,西北农林科技大学
西北农业大学,学校类别,公立大学
西北农业大学,主管部门,中华人民共和国教育部
西华大学,学校类别,公立大学
西南师范大学,学校类别,公立大学
西南师范大学,所属地区,重庆市
西南师范大学,主管部门,中华人民共和国教育部
西南政法大学,学校类别,公立大学
西南政法大学,主管部门,重庆市
西南民族大学,学校类别,公立大学
西南民族大学,主管部门,中华人民共和国国家民族事务委员会
西南林学院,学校类别,公立大学
西南林学院,主管部门,云南省
西南石油大学,学校类别,公立大学
西南电子科技大学,中文名,电子科技大学
西南电子科技大学,学校类别,公立大学
西南电子科技大学,现任校长,曾勇
西南电子科技大学,主管部门,中华人民共和国教育部
西双版纳职业技术学院,学校类别,公立大学
西双版纳职业技术学院,主管部门,云南省
西安中山培训学院,学校类型,大学
西南财经大学,学校类别,公立大学
西南财经大学,主管部门,中华人民共和国教育部
西安公路交通大学,中文名,长安大学
西安公路交通大学,学校类别,公立大学
西安公路交通大学,主管部门,中华人民共和国教育部
西安医科大学,中文名,西安交通大学医学部
