SchoolItem1,relation,SchoolItem2
方智远,educated at,武汉大学
衣俊卿,educated at,北京大学
东北林业大学学报,publisher,东北林业大学
张家骅,educated at,清华大学
王大珩,employer,大连理工大学
宋湛谦,educated at,中国科学技术大学
刘杰,educated at,北京电影学院
王大珩,educated at,清华大学
鲜学福,employer,重庆大学
唐守正,educated at,北京师范大学
黄尚廉,employer,重庆大学
黄尚廉,educated at,重庆大学
杨士中,employer,重庆大学
庄松林,educated at,复旦大学
朱维铮,employer,复旦大学
杨士中,educated at,重庆大学
叶仲裕,educated at,复旦大学
朱维铮,educated at,复旦大学
顾乐观,employer,北京大学
高智群,employer,复旦大学
金重远,employer,复旦大学
张志让,educated at,复旦大学
顾乐观,educated at,重庆大学
洪文达,employer,复旦大学
洪文达,educated at,复旦大学
朱民,educated at,复旦大学
和志强,educated at,重庆大学
复旦大学历史地理研究中心,parent organization,复旦大学
上海第二医科大学,parent organization,上海交通大学
洪绂曾,educated at,复旦大学
费巩,employer,浙江大学
袁木,educated at,复旦大学
费巩,educated at,复旦大学
张迈曾,educated at,复旦大学
吴钟华,educated at,南开大学
杨石先,educated at,南开大学
陈曾焘,educated at,复旦大学
南开大学商学院,part of,南开大学
崔学东,educated at,沈阳音乐学院
高振衡,educated at,清华大学
杨儒怀,educated at,辅仁大学
黄钰生,educated at,清华大学
宁方亮,educated at,中央音乐学院
邓越凡,educated at,南开大学
劳春燕,educated at,复旦大学
郭世英,educated at,北京大学
张跃,employer,北京科技大学
蔡美峰,employer,北京科技大学
陈浥,educated at,北京电影学院
张跃,educated at,北京科技大学
徐金梧,educated at,北京科技大学
蔡美峰,educated at,上海交通大学
阎建钢,educated at,中央戏剧学院
范俭,educated at,武汉大学
朱鸿民,employer,北京科技大学
李净洋,educated at,北京电影学院
杨光斌,educated at,北京大学
吴汉洪,employer,中国人民大学
田有良,educated at,中央戏剧学院
朱鸿民,educated at,湖南大学
吴汉洪,educated at,湖南大学
王人博,educated at,中国政法大学
鲍鲸鲸,educated at,北京电影学院
桑叶红,educated at,中央戏剧学院
柴璐,educated at,清华大学
吴平,employer,浙江大学
曲新久,educated at,中国政法大学
雷志栋,educated at,清华大学
洪道德,educated at,中国政法大学
海霞,educated at,北京师范大学
龙驭球,educated at,清华大学
洪道德,educated at,中国人民大学
方流芳,educated at,中国人民大学
王崇愚,educated at,北京科技大学
苗力田,employer,中国人民大学
陈晓,educated at,中央戏剧学院
许宗衡,educated at,中国政法大学
朱静,educated at,复旦大学
许宗衡,educated at,湘潭大学
柳百新,educated at,清华大学
李龙土,educated at,清华大学
李衍达,educated at,清华大学
隋森芳,educated at,清华大学
孙家广,educated at,清华大学
柳百成,educated at,清华大学
朱邦芬,educated at,清华大学
郑健超,educated at,清华大学
陈肇元,educated at,清华大学
安继刚,educated at,清华大学
李恒德,employer,清华大学
卢强,educated at,清华大学
孟安明,employer,清华大学
何秉松,employer,中国政法大学
邝宇平,employer,兰州大学
何秉松,educated at,北京大学
赵南明,educated at,清华大学
费维扬,educated at,清华大学
邝宇平,educated at,北京大学
岳光溪,educated at,清华大学
李焯芬,educated at,香港大学
李惕碚,educated at,清华大学
张贤达,employer,清华大学
蒋洪德,employer,清华大学
肖鹰,educated at,北京大学
蒋洪德,educated at,清华大学
辛克贵,employer,清华大学
谢维和,educated at,清华大学
辛克贵,educated at,清华大学
岑章志,educated at,清华大学
周良洛,educated at,清华大学
沈原,employer,清华大学
辛克贵,educated at,香港理工大学
李静杰,educated at,南京大学
曾勇,educated at,清华大学
严冬冬,educated at,清华大学
谭天伟,educated at,清华大学
沈原,educated at,中国人民大学
李子奈,employer,清华大学
李子奈,educated at,清华大学
清华大学计算机科学与技术系,part of,清华大学
张正权,employer,南京大学
曹怀东,educated at,清华大学
